名稱:             描述:
ec_multb          "Multi Bar (Concept Games Ltd) (?)"
ec_ndgxs          "Nudge Xcess (MAB PCB?) (Concept Games Ltd) (?)"
ec_oxocg          "Oxo Classic Gold (Electrocoin) (?)"
ec_oxocl          "Oxo Club  (Electrocoin) (?)"
ec_oxogb          "Oxo Golden Bars (Electrocoin) (?)"
ec_oxorl          "Oxo Reels (Electrocoin) (?)"
ec_oxorv          "Oxo Revolution (Electrocoin) (?)"
ec_penni          "Pennies From Heaven (v1) (Electrocoin)"
ec_pennia         "Pennies From Heaven (v6) (Electrocoin)"
ec_pyram          "Pyramid (v1) (Electrocoin)"
ec_pyrama         "Pyramid (v6) (Electrocoin)"
ec_rcc            "Royal Casino Club (Electrocoin) (?)"
ec_rdht7          "Red Hot 7 (MAB PCB?) (Concept Games Ltd) (?)"
ec_redbr          "Red Bar (Electrocoin) (set 1)"
ec_redbr__0       "Red Bar (Electrocoin) (set 28)"
ec_redbr__1       "Red Bar (Electrocoin) (set 29)"
ec_redbr__2       "Red Bar (Electrocoin) (set 30)"
ec_redbr__3       "Red Bar (Electrocoin) (set 31)"
ec_redbr__4       "Red Bar (Electrocoin) (set 32)"
ec_redbr__5       "Red Bar (Electrocoin) (set 33)"
ec_redbr__6       "Red Bar (Electrocoin) (set 34)"
ec_redbr__7       "Red Bar (Electrocoin) (set 35)"
ec_redbr__8       "Red Bar (Electrocoin) (set 36)"
ec_redbr__9       "Red Bar (Electrocoin) (set 37)"
ec_redbr__a       "Red Bar (Electrocoin) (set 2)"
ec_redbr__a0      "Red Bar (Electrocoin) (set 64)"
ec_redbr__a1      "Red Bar (Electrocoin) (set 65)"
ec_redbr__a2      "Red Bar (Electrocoin) (set 66)"
ec_redbr__a3      "Red Bar (Electrocoin) (set 67)"
ec_redbr__a4      "Red Bar (Electrocoin) (set 68)"
ec_redbr__a5      "Red Bar (Electrocoin) (set 69)"
ec_redbr__a6      "Red Bar (Electrocoin) (set 70)"
ec_redbr__a7      "Red Bar (Electrocoin) (set 71)"
ec_redbr__a8      "Red Bar (Electrocoin) (set 72)"
ec_redbr__a9      "Red Bar (Electrocoin) (set 73)"
ec_redbr__aa      "Red Bar (Electrocoin) (set 38)"
ec_redbr__ab      "Red Bar (Electrocoin) (set 39)"
ec_redbr__ac      "Red Bar (Electrocoin) (set 40)"
ec_redbr__ad      "Red Bar (Electrocoin) (set 41)"
ec_redbr__ae      "Red Bar (Electrocoin) (set 42)"
ec_redbr__af      "Red Bar (Electrocoin) (set 43)"
ec_redbr__ag      "Red Bar (Electrocoin) (set 44)"
ec_redbr__ah      "Red Bar (Electrocoin) (set 45)"
ec_redbr__ai      "Red Bar (Electrocoin) (set 46)"
ec_redbr__aj      "Red Bar (Electrocoin) (set 47)"
ec_redbr__ak      "Red Bar (Electrocoin) (set 48)"
ec_redbr__al      "Red Bar (Electrocoin) (set 49)"
ec_redbr__am      "Red Bar (Electrocoin) (set 50)"
ec_redbr__an      "Red Bar (Electrocoin) (set 51)"
ec_redbr__ao      "Red Bar (Electrocoin) (set 52)"
ec_redbr__ap      "Red Bar (Electrocoin) (set 53)"
ec_redbr__aq      "Red Bar (Electrocoin) (set 54)"
ec_redbr__ar      "Red Bar (Electrocoin) (set 55)"
ec_redbr__as      "Red Bar (Electrocoin) (set 56)"
ec_redbr__at      "Red Bar (Electrocoin) (set 57)"
ec_redbr__au      "Red Bar (Electrocoin) (set 58)"
ec_redbr__av      "Red Bar (Electrocoin) (set 59)"
ec_redbr__aw      "Red Bar (Electrocoin) (set 60)"
ec_redbr__ax      "Red Bar (Electrocoin) (set 61)"
ec_redbr__ay      "Red Bar (Electrocoin) (set 62)"
ec_redbr__az      "Red Bar (Electrocoin) (set 63)"
ec_redbr__b       "Red Bar (Electrocoin) (set 3)"
ec_redbr__b0      "Red Bar (Electrocoin) (set 100)"
ec_redbr__b1      "Red Bar (Electrocoin) (set 101)"
ec_redbr__ba      "Red Bar (Electrocoin) (set 74)"
ec_redbr__bb      "Red Bar (Electrocoin) (set 75)"
ec_redbr__bc      "Red Bar (Electrocoin) (set 76)"
ec_redbr__bd      "Red Bar (Electrocoin) (set 77)"
ec_redbr__be      "Red Bar (Electrocoin) (set 78)"
ec_redbr__bf      "Red Bar (Electrocoin) (set 79)"
ec_redbr__bg      "Red Bar (Electrocoin) (set 80)"
ec_redbr__bh      "Red Bar (Electrocoin) (set 81)"
ec_redbr__bi      "Red Bar (Electrocoin) (set 82)"
ec_redbr__bj      "Red Bar (Electrocoin) (set 83)"
ec_redbr__bk      "Red Bar (Electrocoin) (set 84)"
ec_redbr__bl      "Red Bar (Electrocoin) (set 85)"
ec_redbr__bm      "Red Bar (Electrocoin) (set 86)"
ec_redbr__bn      "Red Bar (Electrocoin) (set 87)"
ec_redbr__bo      "Red Bar (Electrocoin) (set 88)"
ec_redbr__bp      "Red Bar (Electrocoin) (set 89)"
ec_redbr__bq      "Red Bar (Electrocoin) (set 90)"
ec_redbr__br      "Red Bar (Electrocoin) (set 91)"
ec_redbr__bs      "Red Bar (Electrocoin) (set 92)"
ec_redbr__bt      "Red Bar (Electrocoin) (set 93)"
ec_redbr__bu      "Red Bar (Electrocoin) (set 94)"
ec_redbr__bv      "Red Bar (Electrocoin) (set 95)"
ec_redbr__bw      "Red Bar (Electrocoin) (set 96)"
ec_redbr__bx      "Red Bar (Electrocoin) (set 97)"
ec_redbr__by      "Red Bar (Electrocoin) (set 98)"
ec_redbr__c       "Red Bar (Electrocoin) (set 4)"
ec_redbr__d       "Red Bar (Electrocoin) (set 5)"
ec_redbr__e       "Red Bar (Electrocoin) (set 6)"
ec_redbr__f       "Red Bar (Electrocoin) (set 7)"
ec_redbr__g       "Red Bar (Electrocoin) (set 8)"
ec_redbr__h       "Red Bar (Electrocoin) (set 9)"
ec_redbr__i       "Red Bar (Electrocoin) (set 10)"
ec_redbr__j       "Red Bar (Electrocoin) (set 11)"
ec_redbr__k       "Red Bar (Electrocoin) (set 12)"
ec_redbr__l       "Red Bar (Electrocoin) (set 13)"
ec_redbr__m       "Red Bar (Electrocoin) (set 14)"
ec_redbr__n       "Red Bar (Electrocoin) (set 15)"
ec_redbr__o       "Red Bar (Electrocoin) (set 16)"
ec_redbr__p       "Red Bar (Electrocoin) (set 17)"
ec_redbr__q       "Red Bar (Electrocoin) (set 18)"
ec_redbr__r       "Red Bar (Electrocoin) (set 19)"
ec_redbr__s       "Red Bar (Electrocoin) (set 20)"
ec_redbr__t       "Red Bar (Electrocoin) (set 21)"
ec_redbr__u       "Red Bar (Electrocoin) (set 22)"
ec_redbr__v       "Red Bar (Electrocoin) (set 23)"
ec_redbr__w       "Red Bar (Electrocoin) (set 24)"
ec_redbr__x       "Red Bar (Electrocoin) (set 25)"
ec_redbr__y       "Red Bar (Electrocoin) (set 26)"
ec_redbr__z       "Red Bar (Electrocoin) (set 27)"
ec_sbarx          "Super Bar X (Electrocoin) (set 1)"
ec_sbarx__0       "Super Bar X (Electrocoin) (set 28)"
ec_sbarx__1       "Super Bar X (Electrocoin) (set 29)"
ec_sbarx__2       "Super Bar X (Electrocoin) (set 30)"
ec_sbarx__3       "Super Bar X (Electrocoin) (set 31)"
ec_sbarx__4       "Super Bar X (Electrocoin) (set 32)"
ec_sbarx__5       "Super Bar X (Electrocoin) (set 33)"
ec_sbarx__6       "Super Bar X (Electrocoin) (set 34)"
ec_sbarx__7       "Super Bar X (Electrocoin) (set 35)"
ec_sbarx__8       "Super Bar X (Electrocoin) (set 36)"
ec_sbarx__9       "Super Bar X (Electrocoin) (set 37)"
ec_sbarx__a       "Super Bar X (Electrocoin) (set 2)"
ec_sbarx__a0      "Super Bar X (Electrocoin) (set 64)"
ec_sbarx__a1      "Super Bar X (Electrocoin) (set 65)"
ec_sbarx__a2      "Super Bar X (Electrocoin) (set 66)"
ec_sbarx__a3      "Super Bar X (Electrocoin) (set 67)"
ec_sbarx__a4      "Super Bar X (Electrocoin) (set 68)"
ec_sbarx__aa      "Super Bar X (Electrocoin) (set 38)"
ec_sbarx__ab      "Super Bar X (Electrocoin) (set 39)"
ec_sbarx__ac      "Super Bar X (Electrocoin) (set 40)"
ec_sbarx__ad      "Super Bar X (Electrocoin) (set 41)"
ec_sbarx__ae      "Super Bar X (Electrocoin) (set 42)"
ec_sbarx__af      "Super Bar X (Electrocoin) (set 43)"
ec_sbarx__ag      "Super Bar X (Electrocoin) (set 44)"
ec_sbarx__ah      "Super Bar X (Electrocoin) (set 45)"
ec_sbarx__ai      "Super Bar X (Electrocoin) (set 46)"
ec_sbarx__aj      "Super Bar X (Electrocoin) (set 47)"
ec_sbarx__ak      "Super Bar X (Electrocoin) (set 48)"
ec_sbarx__al      "Super Bar X (Electrocoin) (set 49)"
ec_sbarx__am      "Super Bar X (Electrocoin) (set 50)"
ec_sbarx__an      "Super Bar X (Electrocoin) (set 51)"
ec_sbarx__ao      "Super Bar X (Electrocoin) (set 52)"
ec_sbarx__ap      "Super Bar X (Electrocoin) (set 53)"
ec_sbarx__aq      "Super Bar X (Electrocoin) (set 54)"
ec_sbarx__ar      "Super Bar X (Electrocoin) (set 55)"
ec_sbarx__as      "Super Bar X (Electrocoin) (set 56)"
ec_sbarx__at      "Super Bar X (Electrocoin) (set 57)"
ec_sbarx__au      "Super Bar X (Electrocoin) (set 58)"
ec_sbarx__av      "Super Bar X (Electrocoin) (set 59)"
ec_sbarx__aw      "Super Bar X (Electrocoin) (set 60)"
ec_sbarx__ax      "Super Bar X (Electrocoin) (set 61)"
ec_sbarx__ay      "Super Bar X (Electrocoin) (set 62)"
ec_sbarx__az      "Super Bar X (Electrocoin) (set 63)"
ec_sbarx__b       "Super Bar X (Electrocoin) (set 3)"
ec_sbarx__c       "Super Bar X (Electrocoin) (set 4)"
ec_sbarx__d       "Super Bar X (Electrocoin) (set 5)"
ec_sbarx__e       "Super Bar X (Electrocoin) (set 6)"
ec_sbarx__f       "Super Bar X (Electrocoin) (set 7)"
ec_sbarx__g       "Super Bar X (Electrocoin) (set 8)"
ec_sbarx__h       "Super Bar X (Electrocoin) (set 9)"
ec_sbarx__i       "Super Bar X (Electrocoin) (set 10)"
ec_sbarx__j       "Super Bar X (Electrocoin) (set 11)"
ec_sbarx__k       "Super Bar X (Electrocoin) (set 12)"
ec_sbarx__l       "Super Bar X (Electrocoin) (set 13)"
ec_sbarx__m       "Super Bar X (Electrocoin) (set 14)"
ec_sbarx__n       "Super Bar X (Electrocoin) (set 15)"
ec_sbarx__o       "Super Bar X (Electrocoin) (set 16)"
ec_sbarx__p       "Super Bar X (Electrocoin) (set 17)"
ec_sbarx__q       "Super Bar X (Electrocoin) (set 18)"
ec_sbarx__r       "Super Bar X (Electrocoin) (set 19)"
ec_sbarx__s       "Super Bar X (Electrocoin) (set 20)"
ec_sbarx__t       "Super Bar X (Electrocoin) (set 21)"
ec_sbarx__u       "Super Bar X (Electrocoin) (set 22)"
ec_sbarx__v       "Super Bar X (Electrocoin) (set 23)"
ec_sbarx__w       "Super Bar X (Electrocoin) (set 24)"
ec_sbarx__x       "Super Bar X (Electrocoin) (set 25)"
ec_sbarx__y       "Super Bar X (Electrocoin) (set 26)"
ec_sbarx__z       "Super Bar X (Electrocoin) (set 27)"
ec_sbxbr          "Super Bar X (Brunel Research) (set 1)"
ec_sbxbra         "Super Bar X (Brunel Research) (set 2)"
ec_sbxbrb         "Super Bar X (Brunel Research) (set 3)"
ec_sbxbrc         "Super Bar X (Brunel Research) (set 4)"
ec_sbxbrd         "Super Bar X (Brunel Research) (set 5)"
ec_sbxbre         "Super Bar X (Brunel Research) (set 6)"
ec_sbxbrf         "Super Bar X (Brunel Research) (set 7)"
ec_sbxbrg         "Super Bar X (Brunel Research) (set 8)"
ec_sbxbrh         "Super Bar X (Brunel Research) (set 9)"
ec_secrt          "Secret Castle (v1) (Electrocoin)"
ec_spbdx          "Super Bar X Deluxe (Electrocoin) (set 1)"
ec_spbdx__a       "Super Bar X Deluxe (Electrocoin) (set 2)"
ec_spbdx__b       "Super Bar X Deluxe (Electrocoin) (set 3)"
ec_spbdx__c       "Super Bar X Deluxe (Electrocoin) (set 4)"
ec_spbdx__d       "Super Bar X Deluxe (Electrocoin) (set 5)"
ec_spbg7mab       "Super Big 7 (MAB PCB) (Electrocoin) (?)"
ec_sphin          "Sphinx (v2) (Electrocoin) (set 1)"
ec_sphina         "Sphinx (v2) (Electrocoin) (set 2)"
ec_sphinb         "Sphinx (v1) (Electrocoin)"
ec_stair          "Stairway To Heaven (v11) (Electrocoin)"
ec_staira         "Stairway To Heaven (v1) (Electrocoin)"
ec_stkex          "Stake X (Concept Games Ltd) (?)"
ec_sumnc          "Casino Super Multi Nudger (Concept / Electrocoin Oxo) (?)"
ec_sumnd          "Super Multi Nudger (Concept / Electrocoin Oxo) (?)"
ec_supbxcon       "Super Bar X (MAB PCB) (Concept Games Ltd) (?)"
ec_supbxmab       "Super Bar X (MAB PCB) (Electrocoin) (?)"
ec_supmb          "Super Multi Bar (Concept Games Ltd) (?)"
ec_suprl          "Super Reels (Electrocoin) (?)"
ec_unk5           "unknown 'Electrocoin' Fruit Machines (Electrocoin) (set 1)"
ec_unk5__a        "unknown 'Electrocoin' Fruit Machines (Electrocoin) (set 2)"
ec_unk5__b        "unknown 'Electrocoin' Fruit Machines (Electrocoin) (set 3)"
ec_unk5__c        "unknown 'Electrocoin' Fruit Machines (Electrocoin) (set 4)"
ec_unkt           "unknown 'T' (MAB PCB?) (Concept Games Ltd) (?)"
eca               "救急車 ( 輸出版 )"
ecap              "Emergency Call Ambulance (US location test?)"
ecau              "Emergency Call Ambulance (USA)"
eclipse           "Eclipse"
ecofghtr          "旋臂戰機 ( 世界版 )"
ecofghtra         "Eco Fighters (Asia 931203)"
ecofghtrd         "Eco Fighters (World 931203 Phoenix Edition) (bootleg)"
ecofghtrh         "Eco Fighters (Hispanic 931203)"
ecofghtru         "Eco Fighters (USA 940215)"
ecofghtru1        "Eco Fighters (USA 931203)"
edf               "地球防衛軍"
edfbl             "E.D.F. : Earth Defense Force (bootleg)"
edfu              "地球防衛軍 ( 北美版 )"
edrandy           "巔峰戰士 ( 世界三版 )"
edrandy1          "巔峰戰士 ( 世界一版 )"
edrandy2          "巔峰戰士 ( 世界二版 )"
edrandyj          "巔峰戰士 ( 日三版 )"
eforest           "Enchanted Forest (12XF528902, US)"
eforesta          "Enchanted Forest (4VXFC818, NSW)"
eforestb          "Enchanted Forest (3VXFC5343, New Zealand)"
egghunt           "雞蛋方塊"
eggor             "射雞蛋"
eggs              "丟雞蛋"
eggsplc           "Eggs Playing Chicken"
eggventr          "蛋蛋危機 ( 釋放 10 )"
eggventr2         "Egg Venture (Release 2)"
eggventr7         "Egg Venture (Release 7)"
eggventr8         "Egg Venture (Release 8)"
eggventra         "Egg Venture (A.L. Release)"
eggventrd         "Egg Venture Deluxe"
ehrgeiz           "鬥魂 ( EG3 )"
ehrgeizaa         "Ehrgeiz (Asia, EG2/VER.A)"
ehrgeizja         "Ehrgeiz (Japan, EG1/VER.A)"
eightbll          "Eight Ball"
eightfrc          "八戰士"
eightman          "八號超人"
einning           "棒球延長賽"
ejanhs            "E 雀高中  "
ejihon            "文字偵探事務所"
ejollyx5          "歡樂紙牌 X5"
ejollyx9          "Euro Jolly X9"
ejsakura          "E雀 櫻花莊 -尚有空屋-"
ejsakura12        "E-Jan Sakurasou (Japan, SYS386F V1.2)"
elandore          "鬥龍傳說"
eldorado          "El Dorado City of Gold"
elecyoyo          "電動迴力球 ( 一版 )"
elecyoyo2         "The Electric Yo-Yo (set 2)"
elektra           "Elektra"
elephfam          "大象家族 ( 義大利新版 )"
elephfmb          "大象家族 ( 義大利舊版 )"
elevator          "電梯大戰"
elevatorb         "Elevator Action (bootleg)"
elfin             "Elfin"
elgrande          "5 牌梭哈"
elim2             "直搗核心 ( 2P, 一版 )"
elim2a            "直搗核心 ( 2P, 二版 )"
elim2c            "直搗核心 ( 2P, 檯面型 )"
elim4             "直搗核心 ( 4P )"
elim4p            "直搗核心 ( 4P, 工程版 )"
elvact2u          "電梯大戰 2 ( 美版 )"
elvactr           "電梯大戰 2 ( 世界版 )"
elvactrj          "電梯大戰 2 ( 日版 )"
elvis             "艾維斯"
elvisf            "Elvis (5.00 France)"
elvisf302         "Elvis (3.02 France)"
elvisf303         "Elvis (3.03 France)"
elvisf4           "Elvis (4.00 France)"
elvisg            "Elvis (5.00 Germany)"
elvisg302         "Elvis (3.02 Germany)"
elvisg303         "Elvis (3.03 Germany)"
elvisg4           "Elvis (4.00 Germany)"
elvisi            "Elvis (5.00 Italy)"
elvisi302         "Elvis (3.02 Italy)"
elvisi303         "Elvis (3.03 Italy)"
elvisi4           "Elvis (4.00 Italy)"
elvisl            "Elvis (5.00 Spain)"
elvisl302         "Elvis (3.02 Spain)"
elvisl303         "Elvis (3.03 Spain)"
elvisl4           "Elvis (4.00 Spain)"
elvisp            "Elvis (5.00)"
elvisp302         "Elvis (3.02)"
elvisp303         "Elvis (3.03)"
elvisp4           "Elvis (4.00)"
embargo           "禁運"
embryon           "Embryon"
emeralda          "海之王者方塊物語 ( 世界版 )"
emeraldaj         "Emeraldia (Japan Version B)"
emeraldaja        "Emeraldia (Japan)"
empcity           "帝都: 1931"
empcityi          "Empire City: 1931 (Italy)"
empcityj          "帝都: 1931 ( 日版 )"
empcityu          "帝都: 1931 ( 美版 )"
empsback          "The Empire Strike Back"
enchfrst          "Enchanted Forest (0400122V, Local)"
enchlamp          "Enchanted Lamp (Konami Endeavour)"
endless           "Gundam Wing: Endless Duel (SNES bootleg)"
endrichs          "Endless Riches (Ver 1.20)"
endurob2          "世嘉越野摩托車 ( 盜版 )"
endurobl          "世嘉越野摩托車 ( 盜版 )"
enduror           "世嘉越野摩托車 ( YM2151 )"
enduror1          "世嘉越野摩托車 ( YM2203 )"
enforce           "雙重火力"
enforcej          "Enforce (Japan)"
enforceja         "Enforce (Japan, Analog Controls)"
enigma2           "謎之侵略者 2"
enigma2a          "謎之侵略者 2 ( 替換版 )"
enigma2b          "Phantoms II (Space Invaders hardware)"
ep_21clb          "Twenty One Club (Maygay) (EPOCH) (3.2, set 1)"
ep_21clba         "Twenty One Club (Maygay) (EPOCH) (3.2, set 2)"
ep_25crt          "25 Carrot Gold (Maygay) (EPOCH) (1.2, set 1)"
ep_25crta         "25 Carrot Gold (Maygay) (EPOCH) (1.1, set 2)"
ep_25crtb         "25 Carrot Gold (Maygay) (EPOCH) (3.1, set 3)"
ep_25crtc         "25 Carrot Gold (Maygay) (EPOCH) (4.1, set 4)"
ep_25crtd         "25 Carrot Gold (Maygay) (EPOCH) (5.1, set 5)"
ep_bartk          "Bar Trekkin (Maygay) (EPOCH) (4.5, set 1)"
ep_bartka         "Bar Trekkin (Maygay) (EPOCH) (3.9, set 2)"
ep_bartkb         "Bar Trekkin (Maygay) (EPOCH) (3.9, set 3)"
ep_bartkc         "Bar Trekkin (Maygay) (EPOCH) (4.4, set 4)"
ep_bartkd         "Bar Trekkin (Maygay) (EPOCH) (4.4, set 5)"
ep_bartke         "Bar Trekkin (Maygay) (EPOCH) (4.5, set 6)"
ep_bartkf         "Bar Trekkin (Maygay) (EPOCH) (4.2, set 7)"
ep_baskr          "Pounds Of The Baskervilles (Maygay) (EPOCH) (1.7, set 1)"
ep_baskra         "Pounds Of The Baskervilles (Maygay) (EPOCH) (2.2, set 2)"
ep_baskrb         "Pounds Of The Baskervilles (Maygay) (EPOCH) (2.2, set 3)"
ep_baskrc         "Pounds Of The Baskervilles (Maygay) (EPOCH) (1.7, set 4)"
ep_baskrd         "Pounds Of The Baskervilles (Maygay) (EPOCH) (2.1, set 5)"
ep_baskre         "Pounds Of The Baskervilles (Maygay) (EPOCH) (1.5, set 6)"
ep_bathl          "Bat Outa Hell (Global) (EPOCH) (2.1, set 1)"
ep_bathla         "Bat Outa Hell (Global) (EPOCH) (2.1, set 2)"
ep_bathlb         "Bat Outa Hell (Global) (EPOCH) (2.2, set 3)"
ep_bathlc         "Bat Outa Hell (Global) (EPOCH) (2.2, set 4)"
ep_bathld         "Bat Outa Hell (Global) (EPOCH) (3.1, set 5)"
ep_bathle         "Bat Outa Hell (Global) (EPOCH) (3.1, set 6)"
ep_bathlf         "Bat Outa Hell (Global) (EPOCH) (4.1, set 7)"
ep_bathlg         "Bat Outa Hell (Global) (EPOCH) (4.1, set 8)"
ep_bathlh         "Bat Outa Hell (Global) (EPOCH) (3.3, set 9)"
ep_batls          "Battleships (Maygay) (EPOCH) (2.2, set 1)"
ep_batlsa         "Battleships (Maygay) (EPOCH) (2.2, set 2)"
ep_batlsb         "Battleships (Maygay) (EPOCH) (1.9, set 3)"
ep_batlsc         "Battleships (Maygay) (EPOCH) (1.9, set 4)"
ep_bbars          "Balloon Bars (Maygay) (EPOCH) (1.2, set 1)"
ep_bbarsa         "Balloon Bars (Maygay) (EPOCH) (1.2, set 2)"
ep_bbarsb         "Balloon Bars (Maygay) (EPOCH) (2.0, set 3)"
ep_bbarsc         "Balloon Bars (Maygay) (EPOCH) (2.0, set 4)"
ep_bbonz          "Bingo Bonanza (Maygay - Union) (EPOCH) (set 1)"
ep_bbonza         "Bingo Bonanza (Maygay - Union) (EPOCH) (set 2)"
ep_beav3          "Casino Beaver Las Vegas (Global) (EPOCH) (CA000720, 3.3, set 1)"
ep_beav3a         "Casino Beaver Las Vegas (Global) (EPOCH) (CA000720, 3.3, set 2)"
ep_beav3b         "Casino Beaver Las Vegas (Global) (EPOCH) (CA000720, 4.2, set 3)"
ep_beav3c         "Casino Beaver Las Vegas (Global) (EPOCH) (CA000720, 4.2, set 4)"
ep_beavr          "Casino Beaver Las Vegas (Global) (EPOCH) (set 1)"
ep_beavra         "Casino Beaver Las Vegas (Global) (EPOCH) (set 2)"
ep_beavrb         "Casino Beaver Las Vegas (Global) (EPOCH) (set 3)"
ep_beavrc         "Casino Beaver Las Vegas (Global) (EPOCH) (set 4)"
ep_beavrd         "Casino Beaver Las Vegas (Global) (EPOCH) (set 5)"
ep_beavre         "Casino Beaver Las Vegas (Global) (EPOCH) (set 6)"
ep_beavrf         "Casino Beaver Las Vegas (Global) (EPOCH) (set 7)"
ep_beavrg         "Casino Beaver Las Vegas (Global) (EPOCH) (set 8)"
ep_beavrh         "Casino Beaver Las Vegas (Global) (EPOCH) (set 9)"
ep_beavri         "Casino Beaver Las Vegas (Global) (EPOCH) (set 10)"
ep_beavrj         "Casino Beaver Las Vegas (Global) (EPOCH) (set 11)"
ep_beavrk         "Casino Beaver Las Vegas (Global) (EPOCH) (set 12)"
ep_beavrl         "Casino Beaver Las Vegas (Global) (EPOCH) (set 13)"
ep_beavrm         "Casino Beaver Las Vegas (Global) (EPOCH) (set 14)"
ep_beavrn         "Casino Beaver Las Vegas (Global) (EPOCH) (CA000720, 2.3, set 5)"
ep_beavro         "Casino Beaver Las Vegas (Global) (EPOCH) (CA000720, 2.3, set 6)"
ep_bingb          "Bingo Belle (Maygay) (EPOCH) (1.3, set 1)"
ep_bingba         "Bingo Belle (Maygay) (EPOCH) (1.3, set 2)"
ep_bjclb          "The Blackjack Club (Global) (EPOCH)"
ep_braid          "Bank Raid (Extreme) (EPOCH) (BARA 0.1, set 1)"
ep_braida         "Bank Raid (Extreme) (EPOCH) (BARA 0.1, set 2)"
ep_braidb         "Bank Raid (Extreme) (EPOCH) (BARA 0.5, set 3)"
ep_braidc         "Bank Raid (Extreme) (EPOCH) (BARA 0.5, set 4)"
ep_braidd         "Bank Raid (Extreme) (EPOCH) (BARA 0.5, set 5)"
ep_braide         "Bank Raid (Extreme) (EPOCH) (BARA 0.5, set 6)"
ep_bubsq          "Bubble & Squeak (Extreme) (EPOCH) (BASQ 0.2, set 1)"
ep_bubsqa         "Bubble & Squeak (Extreme) (EPOCH) (BASQ 0.2, set 2)"
ep_bubsqb         "Bubble & Squeak (Extreme) (EPOCH) (BASQ 0.3, set 3)"
ep_bubsqc         "Bubble & Squeak (Extreme) (EPOCH) (BASQ 0.3, set 4)"
